Email,Aliases,NonEditableAliases
3rd-5thgradeteachers@tpschool.org,4th8th@tpschool.org,
3rd-graders@tpschool.org,,
3rda@tpschool.org,,
3rdb@tpschool.org,,
3rdgradeteachers@tpschool.org,,
4th-graders@tpschool.org,,
5th-graders@tpschool.org,,
6th-graders@tpschool.org,,
7th-graders@tpschool.org,,
8th-graders@tpschool.org,,
accidents@tpschool.org,,
adminblt@tpschool.org,,
admissionsoffice@tpschool.org,admissions@tpschool.org,
alumni@tpschool.org,,
artteachers@tpschool.org,,
asepteachers-ft-pt@tpschool.org,asepteachers-all@tpschool.org ASEPTeachers-PT@tpschool.org,
asepteachers-ft@tpschool.org,asepteachers@tpschool.org,
athleticdirector@tpschool.org,,
attendance@tpschool.org,,
auxiliaryprograms@tpschool.org,,
blt@tpschool.org,,
bustransportation@tpschool.org,,
classroom_teachers@tpschool.org,,
communicationsoffice@tpschool.org,communicationsdpt@tpschool.org communications@tpschool.org,
contactupdate@tpschool.org,,
crisisteam@tpschool.org,,
developmentoffice@tpschool.org,development@tpschool.org,
diversity@tpschool.org,,
diversitycommittee@tpschool.org,,
divisiondirectors@tpschool.org,,
eats.email.group@tpschool.org,,
eats@tpschool.org,,
edu-tech@tpschool.org,,
employment@tpschool.org,,
enrollment@tpschool.org,,
eventteam@tpschool.org,,
facilitiesdpt@tpschool.org,facilities@tpschool.org,
faculty-staff@tpschool.org,,
faculty@tpschool.org,,
fieldtripteam@tpschool.org,,
financeoffice@tpschool.org,,
fllteam@tpschool.org,,
framingthefuture@tpschool.org,,
frontoffice@tpschool.org,,
garageusers@tpschool.org,,
gcp-cups-connector@tpschool.org,,
get-involved@tpschool.org,,
get_involved@tpschool.org,,
headsoffice@tpschool.org,,
humanresourcesoffice@tpschool.org,hr@tpschool.org humanresources@tpschool.org hroffice@tpschool.org,
interstate@tpschool.org,,
jua@tpschool.org,,
juastudents@tpschool.org,,
jub@tpschool.org,,
jubstudents@tpschool.org,,
juc@tpschool.org,,
jucstudents@tpschool.org,,
jud@tpschool.org,,
judstudents@tpschool.org,,
juniorunitteachers@tpschool.org,,
kindergartena@tpschool.org,,
kindergartenb@tpschool.org,,
kindergartenteachers@tpschool.org,,
learningresources@tpschool.org,,
middleschool6teachers@tpschool.org,,
middleschool7teachers@tpschool.org,,
middleschool8teachers@tpschool.org,,
middleschoolteachers@tpschool.org,,
msasteachers@tpschool.org,msas@tpschool.org,
musicteachers@tpschool.org,,
newfaculty-staff@tpschool.org,newfaculty@tpschool.org,
officestaff@tpschool.org,,
operationsteam@tpschool.org,,
payroll@tpschool.org,,
peteachers@tpschool.org,,
pres-2ndgradeteachers@tpschool.org,pres-2nd@tpschool.org pres3rd@tpschool.org,
preschoola@tpschool.org,,
preschoolb@tpschool.org,,
preschoolnote@tpschool.org,,
preschoolteachers@tpschool.org,,
primarya@tpschool.org,,
primaryb@tpschool.org,,
primaryc@tpschool.org,,
primaryd@tpschool.org,,
primaryteachers@tpschool.org,,
programteam@tpschool.org,,
rentals@tpschool.org,,
shh@tpschool.org,,
spanishteachers@tpschool.org,,
specialists@tpschool.org,,
studentcouncilgroup@tpschool.org,,
sub@tpschool.org,,
suspended.users.group@tpschool.org,,
swattech@tpschool.org,,
technology-consultants@tpschool.org,,
technologydpt@tpschool.org,techdpt@tpschool.org tech@tpschool.org,
techteachercommittee@tpschool.org,,
test.group@tpschool.org,,
tpscamps@tpschool.org,citycountrycamps@tpschool.org,
yearbook@tpschool.org,,
yearbookstudents@tpschool.org,,
